Marca temporal,P01. Nivel Académico,P02. Área de Enfoque,P03. Habilidad Manual (Sin IA),P04. Conocimiento Teórico LLM,P05. Frecuencia de Uso,P06. Herramientas Activas,P07. Tipo de Tareas,P08. Dependencia Cognitiva,P09. Método de Validación,P10. Tiempo Ahorrado,P11. Ética en Evaluación,P12. Precisión del Código,P13. Limitaciones Percibidas,P14. Nivel de Prompting,P15. Impacto Aprendizaje,P16. Miedo al Reemplazo,P17. Uso Transversal,P18. Política Institucional,P19. Dependencia Operativa,P20. Habilidad Futura
18/01/2026 20:31:01,Estudiante (1°-3°),"Cloud / DevOps, Gestión TI",2,Básico (Prompts/Tokens),Frecuentemente (Diario),"ChatGPT Gratuito, ChatGPT Plus (GPT-4), GitHub Copilot/Cursor, Claude, Gemini","Debugging (Explicar errores), Documentación, Datos de Prueba, Traducción de Lenguaje",3,Analizo lógica antes de usar,> 50% (Doble velocidad),Sí (Es una herramienta),4,Alucinaciones/Errores,No (Lenguaje natural simple),Positivo (Aprendo más rápido),4,"Redacción, Matemáticas, Presentaciones, Búsqueda (tipo Google)",Permitido con restricciones,Poco (Más lento),Orquestación de IAs
18/01/2026 20:54:16,Estudiante (1°-3°),Desarrollo Web,2,Básico (Prompts/Tokens),Raramente (Mensual),"ChatGPT Gratuito, ChatGPT Plus (GPT-4), Gemini","Debugging (Explicar errores), Refactorización",2,Ejecuto para probar,20% - 50%,Depende del examen,3,"Alucinaciones/Errores, Falta de Contexto, Costo, Privacidad, Desactualización",A veces estructuro,Neutral,3,"Redacción, Matemáticas",Permitido con restricciones,Poco (Más lento),Código Manual (Sintaxis)
18/01/2026 23:32:26,Estudiante (4°-6°),"Data Science / AI, Cloud / DevOps, Backend, Data Engineer",2,Básico (Prompts/Tokens),Frecuentemente (Diario),"ChatGPT Gratuito, GitHub Copilot/Cursor, Gemini","Debugging (Explicar errores), Refactorización, Documentación, Traducción de Lenguaje",2,Analizo lógica antes de usar,> 50% (Doble velocidad),Sí (Es una herramienta),4,"Alucinaciones/Errores, Falta de Contexto, Costo",No (Lenguaje natural simple),Positivo (Aprendo más rápido),3,"Redacción, Matemáticas, Búsqueda (tipo Google)",Permitido con restricciones,Poco (Más lento),Lógica/Arquitectura
22/01/2026 7:24:05,Estudiante (1°-3°),Cosmetologia ,2,Nulo (Solo uso),Siempre (Indispensable),"ChatGPT Gratuito, Gemini",Traducción de Lenguaje,5,Solo uso para inspirarme,< 20%,No (Debe ser conocimiento puro),3,Falta de Contexto,No (Lenguaje natural simple),Neutral,5,"Redacción, Matemáticas, Presentaciones",Fomentado,Poco (Más lento),Orquestación de IAs
22/01/2026 7:26:13,Estudiante (1°-3°),"Móvil, software educativo ",2,Nulo (Solo uso),Ocasionalmente (Semanal),"ChatGPT Gratuito, Gemini","Documentación, Traducción de Lenguaje",3,Ejecuto para probar,20% - 50%,Depende del examen,3,"Falta de Contexto, Desactualización",No (Lenguaje natural simple),Neutral,3,Matemáticas,Permitido con restricciones,Poco (Más lento),Lógica/Arquitectura
22/01/2026 7:29:33,Estudiante (4°-6°),Desarrollo Web,3,Básico (Prompts/Tokens),Frecuentemente (Diario),"ChatGPT Plus (GPT-4), Claude, Gemini","Generar Código (Desde cero), Debugging (Explicar errores), Documentación, Datos de Prueba",5,Ejecuto para probar,20% - 50%,No (Debe ser conocimiento puro),3,"Alucinaciones/Errores, Falta de Contexto, Privacidad, Desactualización",A veces estructuro,Neutral,4,"Redacción, Matemáticas, Búsqueda (tipo Google)",Permitido con restricciones,Mucho (Dificultad en complejos),Código Manual (Sintaxis)
22/01/2026 7:32:57,Estudiante (1°-3°),Móvil,1,Nulo (Solo uso),Ocasionalmente (Semanal),"ChatGPT Gratuito, Gemini",Debugging (Explicar errores),3,Ejecuto para probar,20% - 50%,Depende del examen,3,Desactualización,No (Lenguaje natural simple),Neutral,4,Matemáticas,Permitido con restricciones,Mucho (Dificultad en complejos),Lógica/Arquitectura
22/01/2026 7:34:16,Estudiante (1°-3°),"Desarrollo Web, Ciberseguridad",3,Intermedio (Transformers/Embeddings),Raramente (Mensual),Gemini,"Debugging (Explicar errores), Documentación",2,Analizo lógica antes de usar,20% - 50%,No (Debe ser conocimiento puro),4,"Alucinaciones/Errores, Falta de Contexto, Costo",A veces estructuro,Positivo (Aprendo más rápido),3,"Presentaciones, Búsqueda (tipo Google)",Permitido con restricciones,Poco (Más lento),Código Manual (Sintaxis)
22/01/2026 7:35:46,Estudiante (1°-3°),Desarrollo Web,2,Básico (Prompts/Tokens),Frecuentemente (Diario),"ChatGPT Gratuito, Gemini","Generar Código (Desde cero), Documentación, Traducción de Lenguaje",3,Solo uso para inspirarme,20% - 50%,Depende del examen,3,"Alucinaciones/Errores, Falta de Contexto",No (Lenguaje natural simple),Neutral,2,"Redacción, Matemáticas, Búsqueda (tipo Google)",Permitido con restricciones,Poco (Más lento),Orquestación de IAs
22/01/2026 7:35:47,Estudiante (4°-6°),Cloud / DevOps,4,Básico (Prompts/Tokens),Frecuentemente (Diario),"ChatGPT Gratuito, Gemini",Documentación,4,Solo uso para inspirarme,20% - 50%,No (Debe ser conocimiento puro),3,Costo,Sí (Chain-of-thought/Roles),Negativo (Evito profundizar),5,Búsqueda (tipo Google),Permitido con restricciones,Mucho (Dificultad en complejos),Código Manual (Sintaxis)
22/01/2026 8:00:29,Estudiante (4°-6°),Desarrollo Web,2,Básico (Prompts/Tokens),Ocasionalmente (Semanal),"ChatGPT Gratuito, Gemini","Generar Código (Desde cero), Traducción de Lenguaje",3,Ejecuto para probar,20% - 50%,Depende del examen,3,"Costo, Privacidad, Desactualización",A veces estructuro,Neutral,2,Matemáticas,Permitido con restricciones,Mucho (Dificultad en complejos),Código Manual (Sintaxis)
22/01/2026 8:01:52,Estudiante (1°-3°),Cloud / DevOps,4,Intermedio (Transformers/Embeddings),Ocasionalmente (Semanal),Gemini,Traducción de Lenguaje,3,Ejecuto para probar,< 20%,Depende del examen,4,Costo,A veces estructuro,Neutral,1,Matemáticas,Permitido con restricciones,Poco (Más lento),Código Manual (Sintaxis)
22/01/2026 8:02:58,Estudiante (1°-3°),Data Science / AI,4,Básico (Prompts/Tokens),Raramente (Mensual),ChatGPT Gratuito,Datos de Prueba,2,Ejecuto para probar,< 20%,Depende del examen,2,Privacidad,A veces estructuro,Positivo (Aprendo más rápido),3,Búsqueda (tipo Google),Permitido con restricciones,Poco (Más lento),Soft Skills
22/01/2026 8:08:12,Estudiante (4°-6°),Educación ,1,Básico (Prompts/Tokens),Raramente (Mensual),"ChatGPT Gratuito, Gemini","Documentación, Traducción de Lenguaje",2,Analizo lógica antes de usar,< 20%,No (Debe ser conocimiento puro),3,Falta de Contexto,No (Lenguaje natural simple),Positivo (Aprendo más rápido),1,Redacción,Permitido con restricciones,Poco (Más lento),Código Manual (Sintaxis)
22/01/2026 8:14:37,Estudiante (4°-6°),Gestión TI,4,Intermedio (Transformers/Embeddings),Frecuentemente (Diario),Gemini,Generar Código (Desde cero),3,Analizo lógica antes de usar,20% - 50%,No (Debe ser conocimiento puro),4,Privacidad,A veces estructuro,Positivo (Aprendo más rápido),4,Búsqueda (tipo Google),Permitido con restricciones,Mucho (Dificultad en complejos),Lógica/Arquitectura
